"OBJECTID","WELLWIDTH","WELLLENGTH","PAREAWIDTH","LOWWELL","SPECIES","ADDRNUM","STNAME"
1,"4","4","0","None","Platanus acerifolia",1421,"FRANK H OGAWA PZ"
2,"5","5","0","None","Platanus acerifolia",0,"11TH ST"
3,"3","3","0","Moderate","Gleditsia triacanthos",561,"22ND ST"
4,"3","3","0","Low","Photinia sp",3025,"BROADWAY"
5,"4","9","0","None","Lophostemon confertus",1331,"HARRISON ST"
6,"0","0","5","None","Liquidambar styraciflua",666,"17TH ST"
7,"2","3","0","None","Lophostemon confertus",0,"7TH ST"
8,"5","7","0","None","Unknown",0,"WEBSTER ST"
9,"4","4","0","None","Platanus acerifolia",2015,"BROADWAY"
10,"0","0","4","None","Liquidambar styraciflua",470,"27TH ST"
11,"0","0","4","None","Liquidambar styraciflua",470,"27TH ST"
12,"7","7","0","Low","Unknown",2044,"BROADWAY"
13,"4","8","0","Low","Liquidambar styraciflua",330,"ADAMS ST"
14,"1","2","0","Moderate","Platanus acerifolia",1111,"JACKSON ST"
15,"4","4","0","None","Platanus acerifolia",1749,"BROADWAY"
16,"5","5","0","Low","Platanus acerifolia",2600,"TELEGRAPH AV"
17,"2","3","0","None","Lophostemon confertus",2616,"HARRISON ST"
18,"3","3","0","Moderate","Tristaniopsis I. `Elegant",2345,"BROADWAY"
19,"2","2","0","High","Fraxinus o. `Raywood'",107,"8TH ST"
20,"0","0","6","None","Unknown",124,"GRAND AV"
21,"5","7","0","None","Magnolia grandiflora",555,"10TH ST"
22,"6","6","0","None","Pyrus calleryana cvs",555,"10TH ST"
23,"3","3","0","Low","Dead",2417,"BROADWAY"
24,"6","9","0","Low","Liquidambar styraciflua",2844,"SUMMIT ST"
25,"3","3","0","Low","Tristaniopsis I. `Elegant",2325,"WEBSTER ST"
26,"3","3","0","None","Podocarpus gracilior",2325,"WEBSTER ST"
27,"0","0","6","None","Unknown",124,"GRAND AV"
28,"0","0","4","None","Pyrus calleryana cvs",1115,"M L KING JR WY"
29,"6","9","0","Low","Unknown",2264,"WEBSTER ST"
30,"3","2","0","None","Gleditsia triacanthos",614,"22ND ST"
31,"3","3","0","None","Platanus acerifolia",801,"FRANKLIN ST"
32,"5","4","0","Low","Prunus sp",311,"4TH ST"
33,"0","0","3","None","Prunus sp",414,"VERNON ST"
34,"4","4","0","Low","Acer sp",635,"21ST ST"
35,"5","6","0","None","Liquidambar styraciflua",1475,"ALICE ST"
36,"3","8","0","Low","Ginkgo biloba",1807,"M L KING JR WY"
37,"2","3","0","Moderate","Prunus sp",686,"10TH ST"
38,"3","6","0","High","Schinus terebinthefolia",210,"FRISBIE ST"
39,"2","2","0","Low","Magnolia grandiflora",2865,"BROADWAY"
40,"4","8","0","None","Magnolia grandiflora",653,"11TH ST"
41,"0","0","4","None","Cinnamomum camphora",3300,"KEMPTON AV"
42,"0","0","6","None","Callistemon sp",529,"31ST ST"
43,"3","6","0","Low","Pyrus calleryana cvs",620,"17TH ST"
44,"3","6","0","Low","Pyrus calleryana cvs",620,"17TH ST"
45,"0","0","4","None","Pyrus calleryana cvs",1115,"M L KING JR WY"
46,"3","4","0","High","Alnus rhombifolia",360,"VAN BUREN AV"
47,"2","2","0","None","Gleditsia triacanthos",618,"22ND ST"
48,"5","7","0","Low","Platanus acerifolia",440,"GRAND AV"
49,"5","5","0","Moderate","Magnolia sp",587,"12TH ST"
50,"3","3","0","Moderate","Washingtonia robusta",1540,"JACKSON ST"
51,"3","9","0","High","Unknown",375,"OAKLAND AV"
52,"4","4","0","Low","Platanus acerifolia",2250,"BROADWAY"
53,"3","8","0","Low","Pyrus calleryana cvs",570,"16TH ST"
54,"6","9","0","Low","Gleditsia triacanthos",0,"20TH ST"
55,"2","2","0","None","Tristaniopsis I. `Elegant",2436,"BROADWAY"
56,"3","4","0","Low","Pyrus calleryana cvs",2619,"BROADWAY"
57,"3","3","0","Low","Pyrus calleryana cvs",2619,"BROADWAY"
58,"3","9","0","Low","Podocarpus gracilior",1812,"CASTRO ST"
59,"0","0","5","None","Liquidambar styraciflua",685,"14TH ST"
60,"4","4","0","None","Lagerstroemia indica",685,"14TH ST"
61,"4","9","0","Low","Gleditsia triacanthos",0,"20TH ST"
62,"0","0","6","None","Acacia longifolia",522,"4TH ST"
63,"0","0","4","None","Pyrus calleryana cvs",222,"29TH ST"
64,"2","3","0","Low","Platanus acerifolia",60,"GRAND AV"
65,"3","3","0","Low","Nyssa sylvatica",3001,"BROADWAY"
66,"3","3","0","Low","Photinia sp",3001,"BROADWAY"
67,"3","3","0","Low","Photinia sp",2417,"BROADWAY"
68,"0","0","3","None","Lophostemon confertus",2633,"TELEGRAPH AV"
69,"5","5","0","None","Ginkgo biloba",1250,"M L KING JR WY"
70,"6","10","0","Low","Platanus acerifolia",0,"CITY HALL PZ"
71,"6","10","0","Low","Platanus acerifolia",0,"CITY HALL PZ"
72,"0","0","5","None","Pyrus calleryana cvs",0,"12TH ST"
73,"3","6","0","Low","Pyrus calleryana cvs",0,"8TH ST"
74,"0","0","4","None","Gleditsia triacanthos",0,"CASTRO ST"
75,"2","4","0","Low","Platanus acerifolia",0,"TELEGRAPH AV"
76,"5","5","0","None","Platanus acerifolia",1111,"BROADWAY"
77,"5","5","0","None","Platanus acerifolia",1111,"BROADWAY"
78,"2","4","0","Low","Platanus acerifolia",3232,"ELM ST"
79,"2","3","0","Low","Platanus acerifolia",3232,"ELM ST"
80,"0","0","3","None","Podocarpus gracilior",528,"28TH ST"
81,"3","3","0","Low","Podocarpus gracilior",540,"17TH ST"
82,"3","4","0","None","Robinia hybrid",659,"16TH ST"
83,"3","3","0","None","Olea europaea",1939,"HARRISON ST"
84,"4","6","0","Low","Liquidambar styraciflua",394,"17TH ST"
85,"5","5","0","None","Ginkgo biloba",1250,"M L KING JR WY"
86,"3","9","0","Moderate","Liquidambar styraciflua",311,"OAKLAND AV"
87,"5","6","0","Low","Sequoia sempervirens",399,"ORANGE ST"
88,"0","0","2","None","Pyrus calleryana cvs",399,"ORANGE ST"
89,"3","3","0","Moderate","Prunus cerasifera/blireiana",55,"FAIRMOUNT AV"
90,"3","5","0","None","Pyrus kawakami",399,"BELLEVUE AV"
91,"3","6","0","Low","Quercus agrifolia",585,"17TH ST"
92,"3","3","0","Low","Platanus acerifolia",2100,"TELEGRAPH AV"
93,"4","5","0","None","Platanus acerifolia",659,"14TH ST"
94,"4","9","0","Low","Platanus acerifolia",2447,"TELEGRAPH AV"
95,"0","0","3","None","Platanus acerifolia",0,"17TH ST"
96,"4","4","0","Moderate","Maytenus boaria",0,"NORTHGATE AV"
97,"0","0","6","None","Eucalyptus globulus",433,"JEFFERSON ST"
98,"3","3","0","Moderate","Prunus cerasifera/blireiana",62,"FAIRMOUNT AV"
99,"5","7","0","Moderate","Robinia hybrid",1900,"M L KING JR WY"
100,"0","0","2","None","Alnus rhombifolia",438,"STATEN AV"
101,"4","6","0","Low","Platanus acerifolia",450,"30TH ST"
102,"4","4","0","None","Platanus acerifolia",2147,"BROADWAY"
103,"5","9","0","Moderate","Magnolia grandiflora",939,"M L KING JR WY"
104,"0","0","3","None","Prunus cerasifera/blireiana",3301,"KEMPTON AV"
105,"0","0","3","None","Platanus acerifolia",3301,"KEMPTON AV"
106,"3","3","0","None","Platanus acerifolia",2923,"WEBSTER ST"
107,"3","3","0","Low","Platanus acerifolia",2923,"WEBSTER ST"
108,"4","4","0","None","Platanus acerifolia",2029,"BROADWAY"
109,"3","3","0","None","Pyrus calleryana cvs",1901,"HARRISON ST"
110,"0","0","3","None","Podocarpus gracilior",537,"28TH ST"
111,"4","4","0","Low","Pyrus calleryana cvs",2000,"SAN PABLO AV"
112,"4","5","0","None","Platanus acerifolia",2228,"BROADWAY"
113,"2","3","0","None","Prunus cerasifera/blireiana",206,"23RD ST"
114,"3","3","0","Low","Platanus racemosa",400,"30TH ST"
115,"2","2","0","Low","Platanus racemosa",400,"30TH ST"
116,"3","3","0","Low","Platanus racemosa",400,"30TH ST"
117,"3","3","0","Low","Platanus racemosa",400,"30TH ST"
118,"3","3","0","Low","Platanus racemosa",400,"30TH ST"
