"OBJECTID","NAME","ADDRESS"
1,"Arroyo Viejo Park","7701 Krause Ave"
2,"Brookfield Park","9100 Edes Ave"
3,"Burckhalter Park","4062 Edwards Ave"
4,"Redondo Park","Cavour St & Redondo Av"
5,"Rockridge Park","6090 Rockridge Blvd"
6,"FROG Park","Cavour St & Redondo Av"
7,"Chabot Park","6850 Chabot Rd"
8,"Davie Tennis Stadium","198 Oak Rd  94607
198 Oak Rd"
9,"Glen Echo Park","Panama Ct & Monte Vista Ave"
10,"Garfield Park","2260 Foothill Bl"
11,"William D Wood Park","2920 McKillop Rd"
12,"Morgan Plaza Park","2601 Highland Av"
13,"Bella Vista Park","1025 E 28th St"
14,"Central Reservoir Park","2506 E 29th St"
15,"Dimond Park","3860 Hanly Rd"
16,"Franklin Park","1010 E 15th St"
17,"Manzanita Park","2701 22nd Av"
18,"Nicol Mini Park","3042 Nicol Av"
19,"Montclair Park","6300 Moraga Ave"
20,"Ostrander Park","6151 Broadway Terrace"
21,"Oak Glen Park","3390 Richmond Blvd"
22,"Clinton Square Park","1230 6th Av"
23,"Columbian Gardens","9920 Empire Rd"
24,"Dunsmuir Estate Park","61 Covington St"
25,"Glen Daniels Park","8400 Fontaine St."
26,"Maxwell Park","4618 Allendale Ave"
27,"McCrea Park","4460 Shepherd St"
28,"Sobrante Park","470 El Paseo Dr"
29,"Stonehurst Park","10315 E Street"
30,"Tyrone Carney Park (closed)","10501 Acalanes Dr"
31,"Lion Creek Park","966 66th Ave"
32,"Concordia Park","3000 62nd Ave"
33,"Avenue Terrace Park","4369 Bennett Pl"
34,"Lyons Field","1737 99th Ave"
35,"Pinto Park","5000 Redwood Rd"
36,"Holly Mini Park","9826 Holly St"
37,"San Antonio Park","1701 East 19th St"
38,"Elmhurst Plaza Tennis","1201 98th Ave"
39,"Officer Willie Wilkins Park","9700 C Street"
40,"Eula Brinson Mini Park","1722 85th Ave"
41,"Verdese Carter Park","9600 Sunnyside St"
42,"Oakport Field","5885 Oakport Rd"
43,"Otis Spunkmeyer Field","Doolittle Dr"
44,"Vantage Point Park","1198 13th Ave"
45,"Greenman Field","1390 66th Ave"
46,"Fremont Plaza"," "
47,"South Prescott Park","3rd St & Chester Ave"
48,"St. Andrews Park","32nd St & San Pablo Ave"
49,"Durant Mini Park","29th St & MLK"
50,"Willow Mini Park","14th St & Willow St"
51,"Poplar Park","3131 Union St"
52,"Cypress Freeway Memorial Park","14th & Mandela Parkway"
53,"DeFremery Park & Pool","1269 18th St"
54,"Lowell Park","1180 14th St"
55,"Marston Campbell Park","17th St & West St"
56,"Wade Johnson Park","1250 Kirkham St"
57,"Peralta Oaks Park","10700 Peralta Oaks Dr"
58,"Dolphin Mini Park","73rd Ave & International Blvd"
59,"Picardy Park","5800 Picardy Dr"
60,"Grass Valley Field","4650 Dunkirk Ave"
